"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Lebanon School District","901142390","2010-2011","Grade 9","Percent","Suspensions","10.7"
"Lebanon School District","901142390","2010-2011","Grade 10","Percent","Suspensions","11.9"
"Lebanon School District","901142390","2010-2011","Grade 11","Percent","Suspensions","8.7"
"Lebanon School District","901142390","2010-2011","Grade 12","Percent","Suspensions","12.3"
"Lebanon School District","901142390","2011-2012","Kindergarten","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 1","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 2","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 4","Percent","Suspensions","8.2"
"Lebanon School District","901142390","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 6","Percent","Suspensions","13.5"
"Lebanon School District","901142390","2011-2012","Grade 7","Percent","Suspensions","7.2"
"Lebanon School District","901142390","2011-2012","Grade 8","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 9","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2011-2012","Grade 10","Percent","Suspensions","5.7"
"Lebanon School District","901142390","2011-2012","Grade 11","Percent","Suspensions","7.5"
"Lebanon School District","901142390","2011-2012","Grade 12","Percent","Suspensions","8.8"
"Lebanon School District","901142390","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2012-2013","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2012-2013","Grade 3","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2012-2013","Grade 6","Percent","Suspensions","6.3"
"Lebanon School District","901142390","2012-2013","Grade 7","Percent","Suspensions","9.0"
"Lebanon School District","901142390","2012-2013","Grade 8","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2012-2013","Grade 9","Percent","Suspensions","6.5"
"Lebanon School District","901142390","2012-2013","Grade 10","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2012-2013","Grade 11","Percent","Suspensions","6.9"
"Lebanon School District","901142390","2012-2013","Grade 12","Percent","Suspensions","7.7"
"Lebanon School District","901142390","2013-2014","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 2","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 4","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 5","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2013-2014","Grade 6","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2013-2014","Grade 8","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 9","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2013-2014","Grade 10","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2013-2014","Grade 11","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2013-2014","Grade 12","Percent","Suspensions","6.7"
"Lebanon School District","901142390","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2014-2015","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2014-2015","Grade 3","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2014-2015","Grade 4","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2014-2015","Grade 5","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2014-2015","Grade 6","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2014-2015","Grade 7","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2014-2015","Grade 8","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2014-2015","Grade 9","Percent","Suspensions","9.0"
"Lebanon School District","901142390","2014-2015","Grade 10","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2014-2015","Grade 11","Percent","Suspensions","9.4"
"Lebanon School District","901142390","2014-2015","Grade 12","Percent","Suspensions","8.2"
"Lebanon School District","901142390","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 2","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 5","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 6","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2015-2016","Grade 7","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2015-2016","Grade 8","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2015-2016","Grade 9","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2015-2016","Grade 10","Percent","Suspensions","10.3"
"Lebanon School District","901142390","2015-2016","Grade 11","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2015-2016","Grade 12","Percent","Suspensions","8.3"
"Lebanon School District","901142390","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2016-2017","Grade 3","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2016-2017","Grade 4","Percent","Suspensions","-6666"
"Lebanon School District","901142390","2016-2017","Grade 5","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2016-2017","Grade 6","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2016-2017","Grade 7","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2016-2017","Grade 8","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2016-2017","Grade 9","Percent","Suspensions","8.3"
"Lebanon School District","901142390","2016-2017","Grade 10","Percent","Suspensions","9.6"
"Lebanon School District","901142390","2016-2017","Grade 11","Percent","Suspensions","-9999"
"Lebanon School District","901142390","2016-2017","Grade 12","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2009-2010","Grade 5","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2009-2010","Grade 6","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2009-2010","Grade 7","Percent","Suspensions","8.7"
"Ledyard School District","901142600","2009-2010","Grade 8","Percent","Suspensions","5.7"
"Ledyard School District","901142600","2009-2010","Grade 9","Percent","Suspensions","10.1"
"Ledyard School District","901142600","2009-2010","Grade 10","Percent","Suspensions","6.2"
"Ledyard School District","901142600","2009-2010","Grade 11","Percent","Suspensions","8.7"
"Ledyard School District","901142600","2009-2010","Grade 12","Percent","Suspensions","5.8"
"Ledyard School District","901142600","2010-2011","Kindergarten","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2010-2011","Grade 3","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2010-2011","Grade 7","Percent","Suspensions","3.8"
"Ledyard School District","901142600","2010-2011","Grade 8","Percent","Suspensions","5.8"
"Ledyard School District","901142600","2010-2011","Grade 9","Percent","Suspensions","7.6"
"Ledyard School District","901142600","2010-2011","Grade 10","Percent","Suspensions","3.5"
"Ledyard School District","901142600","2010-2011","Grade 11","Percent","Suspensions","7.3"
"Ledyard School District","901142600","2010-2011","Grade 12","Percent","Suspensions","9.2"
"Ledyard School District","901142600","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2011-2012","Grade 3","Percent","Suspensions","4.2"
"Ledyard School District","901142600","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2011-2012","Grade 5","Percent","Suspensions","5.8"
"Ledyard School District","901142600","2011-2012","Grade 6","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2011-2012","Grade 7","Percent","Suspensions","8.0"
"Ledyard School District","901142600","2011-2012","Grade 8","Percent","Suspensions","13.0"
"Ledyard School District","901142600","2011-2012","Grade 9","Percent","Suspensions","7.0"
"Ledyard School District","901142600","2011-2012","Grade 10","Percent","Suspensions","5.9"
"Ledyard School District","901142600","2011-2012","Grade 11","Percent","Suspensions","8.3"
"Ledyard School District","901142600","2011-2012","Grade 12","Percent","Suspensions","5.2"
"Ledyard School District","901142600","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Ledyard School District","901142600","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2012-2013","Grade 5","Percent","Suspensions","3.3"
"Ledyard School District","901142600","2012-2013","Grade 6","Percent","Suspensions","7.0"
"Ledyard School District","901142600","2012-2013","Grade 7","Percent","Suspensions","5.7"
"Ledyard School District","901142600","2012-2013","Grade 8","Percent","Suspensions","5.1"
"Ledyard School District","901142600","2012-2013","Grade 9","Percent","Suspensions","9.4"
"Ledyard School District","901142600","2012-2013","Grade 10","Percent","Suspensions","3.0"
"Ledyard School District","901142600","2012-2013","Grade 11","Percent","Suspensions","5.2"
"Ledyard School District","901142600","2012-2013","Grade 12","Percent","Suspensions","6.9"
"Ledyard School District","901142600","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2013-2014","Grade 3","Percent","Suspensions","4.5"
"Ledyard School District","901142600","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2013-2014","Grade 5","Percent","Suspensions","3.5"
"Ledyard School District","901142600","2013-2014","Grade 6","Percent","Suspensions","8.7"
"Ledyard School District","901142600","2013-2014","Grade 7","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2013-2014","Grade 8","Percent","Suspensions","5.2"
"Ledyard School District","901142600","2013-2014","Grade 9","Percent","Suspensions","10.1"
"Ledyard School District","901142600","2013-2014","Grade 10","Percent","Suspensions","6.3"
"Ledyard School District","901142600","2013-2014","Grade 11","Percent","Suspensions","4.7"
"Ledyard School District","901142600","2013-2014","Grade 12","Percent","Suspensions","4.4"
"Ledyard School District","901142600","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2014-2015","Grade 1","Percent","Suspensions","4.8"
"Ledyard School District","901142600","2014-2015","Grade 2","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Ledyard School District","901142600","2014-2015","Grade 4","Percent","Suspensions","3.6"
"Ledyard School District","901142600","2014-2015","Grade 5","Percent","Suspensions","3.4"
"Ledyard School District","901142600","2014-2015","Grade 6","Percent","Suspensions","4.1"
"Ledyard School District","901142600","2014-2015","Grade 7","Percent","Suspensions","10.3"
